lemma_id,lemma,in_model,decision_needed_vowel,decision_needed_coda,surface_variants,dwds_headword,anchor_vowel_pres,anchor_vowel_pastsg,anchor_vowel_pastpl,anchor_coda_pastsg,anchor_coda_pastpl,late_vowel_sg,late_vowel_pl,late_vowel_unmatched,late_coda_sg,late_coda_pl,late_coda_unmatched,proposed_vowel_past_winner,proposed_vowel_note,proposed_coda_past_winner,proposed_coda_note,nhg_preterite,proposed_winner_reference,confidence,reference_note,vowel_past_winner,coda_past_winner,curator_note
2,hëlfen,yes,yes,no,hëlfen | helfen | abhelfen | ge-hëlfen | be-hëlfen | hëlfen/ûf<+,,CG:e UG:e,CG:a UG:a,CG:u UG:u,CG:lf UG:lf,CG:lf UG:lf,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,half,pastsg,high,Class III a/u levels to the singular vowel,,,
92,klingen,yes,yes,no,klingen | erklingen | er-klingen,klingen,CG:- UG:i,CG:a UG:a,CG:u UG:u,CG:nk UG:nk,CG:ng UG:ng,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,klang,pastsg,high,Class III a/u levels to the singular vowel,,,
139,krièchen,yes,yes,no,krièchen | kriechen | krauchen | krièchen/ûz<.+/în<.+,,CG:ie UG:-,CG:ou UG:ou,CG:u UG:u,CG:χ UG:χ,CG:χ UG:χ,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,kroch,pastsg,medium,NHG o. Anchors are ou/u so please confirm the ou reading.,,,
93,lîden,yes,yes,no,lîden | leiden | ge-lîden | erleiden | be-lîden | er-lîden,,CG:i UG:i,CG:ei UG:ei,CG:i UG:i,CG:t UG:t,CG:t UG:t,0,0,1,0,0,1,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,litt,pastpl,high,Class I ei/i levels to the plural vowel,,,
143,lîhen,yes,yes,no,lîhen | leihen | ge-lîhen | ent-lîhen | verleihen | ver-lîhen,,CG:i UG:i,CG:u UG:e,CG:- UG:i,CG:w UG:χ,CG:- UG:h,0,0,1,0,0,1,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,lieh,pastpl,high,Class I e/i levels to the plural vowel,,,
25,lügen,yes,yes,no,lügen | liègen | liegen | belügen | anliegen | erliegen,lügen,CG:ie UG:ie,CG:- UG:ou,CG:u UG:u,CG:- UG:c,CG:g UG:g,0,0,6,0,0,6,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,lag,,low,NHG lag. The ou/u anchors match neither vowel. Yours.,,,
147,mîden,yes,yes,no,mîden | ver-mîden | vermeiden,,CG:i UG:i,CG:ei UG:ei,CG:- UG:i,CG:t UG:t,CG:- UG:t,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,mied,pastpl,high,Class I ei/i levels to the plural vowel,,,
243,ringen,yes,yes,no,ringen | be-ringen | er-ringen,,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG:nk UG:ng,CG:ng UG:ng,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,rang,pastsg,high,Class III a/u levels to the singular vowel,,,
166,rinnen,yes,yes,no,rinnen | er-rinnen | ge-rinnen | be-rinnen | zer-rinnen | ent-rinnen,rinnen,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG: UG:,CG:n UG:n,4,0,0,4,0,0,pastsg,corpus majority 4 vs 0,pastsg,corpus majority 4 vs 0,rann,pastsg,high,Class III a/u levels to the singular vowel,,,
179,schrîen,yes,yes,no,schrîen | schreien | er-schrîen | ge-schrîen | be-schrîen | schrîen/ûz>+,,CG:ie UG:ie,CG:ei UG:ei,CG:u UG:-,CG: UG:,CG:w UG:-,1,0,2,1,0,2,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,schrie,,low,The ei/u anchors look wrong for this verb. Yours.,,,
171,schèiden,yes,no,yes,schèiden | scheiden | er-schèiden | verscheiden | be-schèiden | ge-schèiden,,CG:ei UG:ei,CG:ie UG:ie,CG:ie UG:ie,CG:t UG:t,CG:d UG:d,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
172,schëlten,yes,yes,no,schëlten | schelten | ge-schëlten | be-schëlten,,CG:e UG:e,CG:a UG:a,CG:- UG:u,CG:l UG:l,CG:- UG:l,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,schalt,pastsg,high,Class III a/u levels to the singular vowel,,,
95,schînen,yes,yes,no,schînen | scheinen | erscheinen | ge-schînen | be-schînen | er-schînen,,CG:i UG:i,CG:ei UG:ei,CG:i UG:i,CG: UG:,CG: UG:,5,0,0,0,0,5,pastsg,corpus majority 5 vs 0,unresolved,fewer than 3 classified tokens,schien,pastpl,high,Class I ei/i levels to the plural vowel,,,
192,singen,yes,yes,no,singen | ge-singen | be-singen | voll-singen | über-singen | singen/ûz<.+,singen,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG:nk UG:nk,CG:ng UG:ng,0,2,0,0,0,2,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,sang,pastsg,high,Class III a/u levels to the singular vowel,,,
56,sinnen,yes,yes,no,sinnen | besinnen | ge-sinnen | be-sinnen | er-sinnen | ver-sinnen,,CG:i UG:i,CG:a UG:a,CG:- UG:u,CG: UG:,CG:- UG:n,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,sann,pastsg,high,Class III a/u levels to the singular vowel,,,
8,snîden,yes,yes,no,snîden | be-snîden | ge-snîden | schneiden | snîden/ûz+ | ver-snîden,,CG:i UG:i,CG:ei UG:ei,CG:i UG:i,CG:t UG:t,CG:t UG:t,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,schnitt,pastpl,high,Class I ei/i levels to the plural vowel,,,
88,springen,yes,yes,no,springen | entspringen | ge-springen | er-springen | springen/ûz+ | zer-springen,springen,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG:nk UG:nk,CG:ng UG:ng,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,sprang,pastsg,high,Class III a/u levels to the singular vowel,,,
10,sterben,yes,yes,no,sterben | stërben | absterben | ersterben | er-stërben | ge-stërben,sterben,CG:e UG:e,CG:a UG:a,CG:u UG:u,CG:rb UG:rp,CG:rb UG:rb,156,0,0,0,0,156,pastsg,corpus majority 156 vs 0,unresolved,fewer than 3 classified tokens,starb,pastsg,high,Class III a/u levels to the singular vowel,,,
200,stinken,yes,yes,no,stinken | ge-stinken | er-stinken,stinken,UG:i,UG:a,UG:u,UG:nk,UG:nk,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,stank,pastsg,high,Class III a/u levels to the singular vowel,,,
199,stièben,yes,yes,no,stièben | stieben | zer-stièben | stièben/ûf+ | stièben/ûf>+ | stièben/ûfe>+,,CG:ie UG:ie,CG:ou UG:ou,CG:u UG:u,CG:p UG:p,CG:b UG:b,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,stob,pastsg,medium,NHG o. Anchors are ou/u so please confirm the ou reading.,,,
60,streit,yes,yes,no,streit | strîten | streiten | er-strîten | ge-strîten | bestreiten,streiten,CG:i UG:i,CG:ei UG:ei,CG:i UG:i,CG:t UG:t,CG:t UG:t,1,0,0,0,0,1,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,stritt,pastpl,high,Class I ei/i levels to the plural vowel,,,
203,strîchen,yes,yes,no,strîchen | streichen | be-strîchen | ge-strîchen | umbe-strîchen | strîchen/ûz<+,,CG:i UG:i,CG:ei UG:ei,CG:i UG:i,CG:χ UG:χ,CG:χ UG:χ,1,0,0,0,0,1,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,strich,pastpl,high,Class I ei/i levels to the plural vowel,,,
183,swimmen,yes,yes,no,swimmen | schwimmen | ge-swimmen | swimmen/ûz+ | swimmen/ûz>+,,CG:i UG:i,CG:- UG:a,CG:- UG:u,CG:- UG:m,CG:- UG:m,0,0,1,0,0,1,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,schwamm,pastsg,high,Class III a/u levels to the singular vowel,,,
184,swinten,yes,yes,no,swinten | schwinden | ge-swinten | ver-swinten | verschwinden,,CG:i UG:i,CG:a UG:a,CG:- UG:u,CG:n UG:n,CG:- UG:n,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,schwand,pastsg,high,Class III a/u levels to the singular vowel,,,
97,trinken,yes,yes,no,trinken | ertrinken | er-trinken | ge-trinken | ver-trinken | trinken/ûz<+,trinken,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG:nk UG:nk,CG:nk UG:nk,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,trank,pastsg,high,Class III a/u levels to the singular vowel,,,
86,trinnen,yes,yes,no,trinnen | entrinnen | ent-trinnen | ent-trinnen/ûz>+,,CG:i UG:i,CG:a UG:a,CG:- UG:u,CG: UG:,CG:- UG:n,1,0,0,1,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,entrann,pastsg,high,Class III a/u levels to the singular vowel,,,
65,twingen,yes,yes,no,twingen | dwingen | zwingen | bezwingen | ge-dwingen | er-dwingen,,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG:nk UG:nk,CG:ng UG:ng,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,zwang,pastsg,high,Class III a/u levels to the singular vowel,,,
214,verlieren,yes,yes,yes,verlieren | ver-lièsen,verlieren,CG:ie UG:ie,CG:o UG:o,CG:u UG:u,CG:s UG:s,CG:r UG:r,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,verlor,pastsg,high,Class II vowel goes to the singular. The coda goes the other way.,,,
38,vinden,yes,yes,no,vinden | finden | befinden | erfinden | empfinden | be-vinden,,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG:n UG:n,CG:n UG:n,2,12,0,0,0,14,pastpl,corpus majority 2 vs 12,unresolved,fewer than 3 classified tokens,fand,pastsg,high,Class III: MHG bant/bunden levels to NHG band/banden,,,
20,vëhten,yes,yes,no,vëhten | fechten | er-vëhten | anfechten | ge-vëhten | ver-vëhten,,CG:e UG:e,CG:a UG:a,CG:u UG:a,CG:h UG:h,CG:h UG:h,0,2,76,0,0,78,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,focht,,low,NHG o comes from the participle. It matches neither a nor u. Yours.,,,
16,werfen,yes,yes,no,werfen | wërfen | anwerfen | abwerfen | er-wërfen | aufwerfen,werfen,CG:i UG:e,CG:a UG:a,CG:u UG:u,CG:rf UG:rf,CG:rf UG:rf,0,1,0,0,0,1,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,warf,pastsg,high,Class III a/u levels to the singular vowel,,,
120,winnen,yes,yes,no,winnen | gewinn | gewinnen | er-winnen | ge-winnen | ver-winnen,,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG: UG:,CG:n UG:n,1,0,0,1,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,gewann,pastsg,high,Class III a/u levels to the singular vowel,,,
100,wërben,yes,yes,no,wërben | werben | erwerben | er-wërben | ge-wërben | wërben/ane<+,,CG:e UG:e,CG:a UG:a,CG:u UG:u,CG:rp UG:rp,CG:rb UG:rb,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,warb,pastsg,high,Class III a/u levels to the singular vowel,,,
17,zîhen,yes,yes,yes,zîhen | zeihen | ziehen | ge-zîhen | be-zîhen | anzeigen,,CG:i UG:i,CG:e UG:e,CG:- UG:i,CG:g UG:χ,CG:- UG:g,0,4,9,5,7,1,pastpl,corpus majority 0 vs 4,unresolved,no clear majority (5 vs 7),zieh,pastpl,medium,Class I e/i. NHG zeihen is archaic today.,,,
28,anwenden,no,no,no,anwenden | verwenden,wenden,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
226,bachen,no,no,no,bachen | ge-bachen,,UG:a,UG:uo,UG:-,UG:χ,UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
227,backen,no,no,no,backen,,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
237,be-klîben,no,no,no,be-klîben,,CG:i UG:i,CG:- UG:ei,CG:- UG:-,CG:- UG:b,CG:- UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
265,be-sèben,no,no,no,be-sèben | ent-sèben,,CG:e UG:e,CG:uo UG:uo,CG:- UG:uo,CG:p UG:p,CG:- UG:b,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
271,be-vëlhen,no,yes,no,be-vëlhen | ent-vëlhen,,CG:i UG:i,CG:a UG:a,CG:- UG:u,CG:lχ UG:lχ,CG:- UG:lh,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
34,bedenken,no,no,no,bedenken,bedenken,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
36,bedürfen,no,no,no,bedürfen,bedürfen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
37,befehlen,no,no,no,befehlen,befehlen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
39,begehren,no,no,no,begehren,begehren,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
40,beginnen,no,no,no,beginnen | ent-ginnen,beginnen,UG:-,UG:a,UG:-,UG:,UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
44,behüten,no,no,no,behüten,hüten,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
45,bekennen,no,no,no,bekennen,bekennen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
54,beschweren,no,no,no,beschweren,beschweren,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
66,binden,no,no,no,binden | entbinden | verbinden | ent-binden | ver-binden,binden,CG:i UG:-,CG:- UG:-,CG:- UG:-,CG:- UG:-,CG:- UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
229,binten,no,yes,no,binten | ge-binten | er-binten | ver-binten | ent-binten | binten/ûf+,,CG:i UG:i,CG:a UG:a,CG:u UG:u,CG:n UG:n,CG:n UG:n,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
276,biten,no,no,no,biten | ge-biten | er-biten | voll-biten | biten/ane>+,,CG:i UG:i,CG:a UG:a,CG:a UG:a,CG:t UG:t,CG:t UG:t,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
67,bitten,no,no,no,bitten,bitten,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
278,biègen,no,no,no,biègen | er-biègen | biègen/ûz>+ | biègen/nider(e)>+,,CG:- UG:ie,CG:ou UG:-,CG:- UG:-,CG:c UG:-,CG:- UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
280,blanten,no,no,no,blanten | en-blanten,,UG:e,UG:-,UG:-,UG:-,UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
68,blasen,no,no,no,blasen | blâsen | ge-blâsen | zer-blâsen | ent-blâsen | ver-blâsen,blasen,CG:a UG:a,CG:ie UG:ie,CG:- UG:ie,CG:s UG:s,CG:- UG:s,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
69,bleiben,no,no,no,bleiben,bleiben,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
281,bliuwen,no,yes,no,bliuwen | zer-bliuwen,,CG:- UG:-,CG:- UG:ou,CG:- UG:u,CG:- UG:w,CG:- UG:w,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
282,blîchen,no,no,no,blîchen | ver-blîchen | über-blîchen | blîchen/ane+,,CG:e UG:i,CG:- UG:i,CG:- UG:i,CG:- UG:χ,CG:- UG:χ,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
29,brechen,yes,no,no,brechen | brëchen | gebrechen | er-brëchen | einbrechen | verbrechen,brechen,CG:e UG:e,CG:a UG:a,CG:a UG:a,CG:χ UG:χ,CG:χ UG:χ,0,0,1,0,0,1,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
73,bringen,no,no,no,bringen,bringen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
70,brâten,yes,no,no,brâten | braten,,CG:a UG:a,CG:- UG:ie,CG:- UG:-,CG:- UG:t,CG:- UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
50,brësten,no,no,no,brësten | gebresten | ge-brësten | zer-brësten | ent-brësten | brësten/ûz>+,,CG:e UG:e,CG:a UG:a,CG:- UG:a,CG:s UG:s,CG:- UG:s,0,0,1,0,0,1,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
294,bëlgen,no,no,no,bëlgen | er-bëlgen | ver-bëlgen,,CG:- UG:e,CG:a UG:a,CG:- UG:-,CG:lc UG:lc,CG:- UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
46,bëllen,no,no,no,bëllen | bellen | ge-bëllen | bëllen/ane>+ | bëllen/wider(e)>+,,CG:- UG:e,CG:u UG:-,CG:- UG:-,CG:l UG:-,CG:- UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
295,bër(e)n,no,no,no,bër(e)n | ge-bër(e)n | er-bër(e)n | ent-bër(e)n | ver-bër(e)n | wider-bër(e)n,,CG:e UG:e,CG:a UG:a,CG:a UG:a,CG:r UG:r,CG:r UG:r,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
296,bîten,no,no,no,bîten | en-bîten | er-bîten | ge-bîten | ent-bîten,,CG:i UG:i,CG:i UG:i,CG:i UG:i,CG:t UG:t,CG:t UG:t,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
297,bîzen,no,no,no,bîzen | ge-bîzen | en-bîzen | in-bîzen | er-bîzen | ver-bîzen,,CG:i UG:i,CG:i UG:e,CG:i UG:e,CG:z UG:nb,CG:z UG:nb,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
299,bûwen,no,no,no,bûwen | er-bûwen | ge-bûwen | ver-bûwen | über-bûwen | bûwen/în>+,,CG:u UG:u,CG:u UG:u,CG:- UG:u,CG:w UG:w,CG:- UG:w,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
74,denken,no,no,no,denken | gedenken,denken,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
75,dienen,no,no,no,dienen,dienen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
302,dièzen,no,no,no,dièzen | er-dièzen | dièzen/ûz+ | dièzen/ûz>+,,CG:ie UG:ie,CG:- UG:o,CG:u UG:-,CG:- UG:z,CG:z UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
76,drehen,no,no,no,drehen,drehen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
230,drièzen,no,no,no,drièzen | be-drièzen | er-drièzen | ver-drièzen,,CG:ie UG:iu,CG:o UG:o,CG:- UG:-,CG:z UG:z,CG:- UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
305,drëschen,no,no,no,drëschen,,UG:e,UG:a,UG:-,UG:ʃ,UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
232,dwahen,no,no,no,dwahen | be-dwahen | ge-dwahen | dwahen/abe>+,,CG:a UG:a,CG:- UG:uo,CG:ue UG:uo,CG:- UG:c,CG:g UG:g,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
310,dërben,no,yes,no,dërben | ver-dërben,,CG:e UG:e,CG:a UG:u,CG:u UG:u,CG:rb UG:rb,CG:rb UG:rb,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
111,dîhen,yes,no,no,dîhen | ge-dîhen | gedeihen | ver-dîhen | dîhen/vür(e)>+,,CG:i UG:i,CG:e UG:e,CG:- UG:-,CG:χ UG:χ,CG:- UG:-,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
77,dünken,no,no,no,dünken,dünken,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
80,eilen,no,no,no,eilen,eilen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
81,empfangen,no,no,no,empfangen,empfangen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
82,enphallen,no,no,no,enphallen | empfehlen,,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
311,enphâhen,no,no,no,enphâhen,,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
87,entsetzen,no,no,no,entsetzen,entsetzen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
91,erkennen,no,no,no,erkennen,erkennen,,,,,,0,0,0,0,0,0,unresolved,fewer than 3 classified tokens,unresolved,fewer than 3 classified tokens,,,,,,,
